r_fighter,b_fighter,r_kd,b_kd,r_sig_str,b_sig_str,r_sig_str_per,b_sig_str_per,r_total_str,b_total_str,r_td,b_td,r_td_per,b_td_per,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl,b_ctrl,r_sig_head,b_sig_head,r_sig_body,b_sig_body,r_sig_leg,b_sig_leg,r_distance,b_distance,r_clinch,b_clinch,r_ground,b_ground,date,winner,title_bout,win_con,weight_class,num_rounds,round_length,fight_length,r_str_acc,b_str_acc,r_distance_acc,b_distance_acc,r_head_acc,b_head_acc,r_body_acc,b_body_acc,r_leg_acc,b_leg_acc,r_ground_acc,b_ground_acc,r_clinch_acc
Mike Rodriguez,Danilo Marques,0,0,16,29,0.66,1.0,34,55,0,4,0.0,0.57,0,2,0,0,4,459,3,27,5,2,8,0,11,2,5,0,0,27,"February 06, 2021",b,False,Submission,Light Heavyweight,2,4,9,0.7906976744186046,0.9482758620689655,0.5789473684210527,1.0,0.42857142857142855,1.0,0.8333333333333334,1.0,0.7272727272727273,0.0,0.0,1.0,1.0
Devonte Smith,Justin Jaynes,0,0,34,11,0.52,0.4,46,19,1,0,1.0,0.0,1,0,0,1,188,12,25,6,5,3,4,2,21,10,5,0,8,1,"February 06, 2021",r,False,TKO - Doctor's Stoppage,Catch Weight,2,3,8,0.5897435897435898,0.5428571428571428,0.4666666666666667,0.38461538461538464,0.46296296296296297,0.2857142857142857,0.7142857142857143,0.75,1.0,1.0,0.6666666666666666,1.0,0.625
Karol Rosa,Joselyne Edwards,0,0,57,38,0.67,0.64,135,70,4,1,0.66,0.33,0,0,0,1,673,2,33,22,9,4,15,12,27,31,11,3,19,4,"February 06, 2021",r,False,Decision - Unanimous,Women's Bantamweight,3,5,15,0.7714285714285715,0.7216494845360825,0.5869565217391305,0.6078431372549019,0.6,0.6111111111111112,0.9,0.5,0.7894736842105263,0.8,0.7916666666666666,0.8,0.7857142857142857
Molly McCann,Lara Procopio,0,0,37,36,0.78,0.62,71,85,0,7,0.0,0.77,1,1,0,0,50,703,17,20,13,11,7,5,21,19,11,9,5,8,"February 06, 2021",b,False,Decision - Unanimous,Women's Flyweight,3,5,15,0.8554216867469879,0.7522123893805309,0.75,0.48717948717948717,0.68,0.5128205128205128,0.9285714285714286,0.9166666666666666,0.875,0.7142857142857143,0.7142857142857143,1.0,0.9166666666666666
SeungWoo Choi,Youssef Zalal,0,0,41,23,0.37,0.48,73,46,2,3,0.66,0.33,0,1,0,1,219,269,25,12,10,9,6,2,26,21,12,1,3,1,"February 06, 2021",r,False,Decision - Unanimous,Featherweight,3,5,15,0.5069444444444444,0.6571428571428571,0.27956989247311825,0.4772727272727273,0.2976190476190476,0.35294117647058826,0.7692307692307693,0.9,0.5,0.6666666666666666,1.0,1.0,0.9230769230769231
Timur Valiev,Martin Day,0,0,55,8,0.72,0.28,115,24,4,0,0.66,0.0,0,0,0,1,679,15,37,7,4,0,14,1,20,6,2,0,33,2,"February 06, 2021",r,False,Decision - Unanimous,Featherweight,3,5,15,0.7718120805369127,0.5217391304347826,0.6451612903225806,0.2608695652173913,0.6981132075471698,0.30434782608695654,0.5714285714285714,0.0,0.875,0.3333333333333333,0.7674418604651163,0.5,1.0
Ode Osbourne,Jerome Rivera,1,0,5,2,0.83,0.66,5,2,0,0,0.0,0.0,0,0,0,0,2,0,5,0,0,1,0,1,1,2,0,0,4,0,"February 06, 2021",r,False,KO/TKO,Featherweight,1,0,0,0.8333333333333334,0.6666666666666666,1.0,0.6666666666666666,0.8333333333333334,0.0,0.0,1.0,0.0,1.0,0.8,0.0,0.0
Dustin Poirier,Conor McGregor,1,0,48,29,0.52,0.43,53,52,1,0,1.0,0.0,0,0,0,0,102,67,30,23,0,4,18,2,46,27,0,2,2,0,"January 23, 2021",r,False,KO/TKO,Lightweight,2,2,7,0.5408163265306123,0.5652173913043478,0.5168539325842697,0.42857142857142855,0.43478260869565216,0.38333333333333336,0.0,1.0,0.8571428571428571,1.0,1.0,0.0,0.0
Dan Hooker,Michael Chandler,0,1,8,17,0.42,0.7,8,17,0,0,0.0,0.0,0,0,0,0,0,9,0,12,0,4,8,1,8,7,0,0,0,10,"January 23, 2021",b,False,KO/TKO,Lightweight,1,2,2,0.42105263157894735,0.7083333333333334,0.42105263157894735,0.6363636363636364,0.0,0.7058823529411765,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.7692307692307693,0.0
Jessica Eye,Joanne Calderwood,0,0,77,148,0.44,0.61,104,214,1,1,0.25,0.33,0,0,0,0,303,19,39,52,35,53,3,43,44,113,32,35,1,0,"January 23, 2021",b,False,Decision - Unanimous,Women's Flyweight,3,5,15,0.47706422018348627,0.670846394984326,0.3333333333333333,0.5707070707070707,0.30708661417322836,0.4262295081967213,0.8536585365853658,0.8548387096774194,0.6,0.7678571428571429,1.0,0.0,0.8
Andrew Sanchez,Makhmud Muradov,0,0,48,79,0.34,0.45,50,82,0,0,0.0,0.0,0,0,0,0,22,16,34,52,8,16,6,11,48,72,0,5,0,2,"January 23, 2021",b,False,KO/TKO,Middleweight,3,2,12,0.3472222222222222,0.4632768361581921,0.3404255319148936,0.43636363636363634,0.288135593220339,0.37410071942446044,0.5333333333333333,0.7272727272727273,0.75,0.8461538461538461,0.0,1.0,0.0
Marina Rodriguez,Amanda Ribas,1,0,15,7,0.41,0.3,26,35,0,1,0.0,1.0,0,0,0,0,7,219,14,4,1,2,0,1,5,3,3,1,7,3,"January 23, 2021",r,False,KO/TKO,Women's Strawweight,2,0,5,0.5,0.6140350877192983,0.2,0.1875,0.42424242424242425,0.21052631578947367,1.0,1.0,0.0,0.5,0.875,0.5,1.0
Arman Tsarukyan,Matt Frevola,0,0,50,16,0.48,0.28,103,51,10,0,0.83,0.0,0,0,0,0,504,2,32,8,12,6,6,2,39,9,5,7,6,0,"January 23, 2021",r,False,Decision - Unanimous,Lightweight,3,5,15,0.5722222222222222,0.5257731958762887,0.45348837209302323,0.1875,0.3902439024390244,0.17391304347826086,0.8,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.625
Brad Tavares,Antonio Carlos Junior,0,0,54,34,0.5,0.33,73,57,0,1,0.0,0.08,0,0,0,0,5,388,28,24,6,2,20,8,50,33,4,1,0,0,"January 23, 2021",r,False,Decision - Unanimous,Middleweight,3,5,15,0.5407407407407407,0.4222222222222222,0.49019607843137253,0.33,0.3684210526315789,0.25806451612903225,0.75,1.0,0.8333333333333334,1.0,0.0,0.0,0.6666666666666666
Julianna Pena,Sara McMann,0,0,38,21,0.5,0.38,140,28,1,3,1.0,1.0,1,0,0,0,175,441,27,10,11,7,0,4,20,12,10,6,8,3,"January 23, 2021",r,False,Submission,Women's Bantamweight,3,3,13,0.7291666666666666,0.4444444444444444,0.3508771929824561,0.27906976744186046,0.4153846153846154,0.2564102564102564,1.0,0.7,0.0,0.8,0.8888888888888888,0.6,1.0
Khalil Rountree Jr.,Marcin Prachnio,0,0,49,102,0.33,0.47,50,105,0,0,0.0,0.0,0,0,0,0,0,5,29,33,13,29,7,40,49,100,0,2,0,0,"January 23, 2021",b,False,Decision - Unanimous,Light Heavyweight,3,5,15,0.33557046979865773,0.4772727272727273,0.3356164383561644,0.47393364928909953,0.24166666666666667,0.25190839694656486,0.7222222222222222,0.7435897435897436,0.7,0.8695652173913043,0.0,0.0,0.0
Nik Lentz,Movsar Evloev,0,0,46,82,0.36,0.48,50,137,1,2,0.2,1.0,2,0,1,0,86,276,24,70,15,7,7,5,41,78,5,0,0,4,"January 23, 2021",b,False,Decision - Split,Catch Weight,3,5,15,0.36496350364963503,0.5829787234042553,0.3416666666666667,0.4727272727272727,0.24,0.45751633986928103,0.75,0.7,1.0,0.7142857142857143,0.0,0.8,0.7142857142857143
Amir Albazi,Zhalgas Zhumagulov,0,0,68,59,0.4,0.44,94,74,2,1,0.66,0.33,0,0,0,0,218,27,40,22,15,31,13,6,64,58,2,1,2,0,"January 23, 2021",r,False,Decision - Unanimous,Flyweight,3,5,15,0.47,0.49333333333333335,0.39263803680981596,0.453125,0.3125,0.2619047619047619,0.625,0.7560975609756098,0.7647058823529411,0.8571428571428571,0.6666666666666666,0.0,0.6666666666666666
Michael Chiesa,Neil Magny,0,0,24,12,0.46,0.24,93,52,4,1,0.66,0.33,0,1,0,0,921,135,19,7,3,5,2,0,10,8,1,4,13,0,"January 20, 2021",r,False,Decision - Unanimous,Welterweight,5,5,25,0.744,0.5416666666666666,0.3448275862068966,0.17777777777777778,0.4418604651162791,0.16666666666666666,0.42857142857142855,0.7142857142857143,1.0,0.0,0.6190476190476191,0.0,0.5
Warlley Alves,Mounir Lazzez,1,0,17,2,0.8,1.0,24,2,1,0,1.0,0.0,0,0,0,0,96,42,9,1,7,1,1,0,7,0,4,2,6,0,"January 20, 2021",r,False,KO/TKO,Welterweight,1,2,2,0.8,1.0,0.7777777777777778,0.0,0.75,1.0,0.875,1.0,1.0,0.0,1.0,0.0,0.6666666666666666
Ike Villanueva,Vinicius Moreira,1,0,24,24,0.42,0.57,24,24,0,0,0.0,0.0,0,0,0,0,0,0,18,4,6,10,0,10,24,23,0,1,0,0,"January 20, 2021",r,False,KO/TKO,Light Heavyweight,2,0,5,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5609756097560976,0.3829787234042553,0.4,0.6666666666666666,0.5555555555555556,0.0,0.7142857142857143,0.0,0.0,0.0
Roxanne Modafferi,Viviane Araujo,0,0,46,86,0.25,0.43,49,100,0,4,0.0,1.0,0,1,0,0,39,186,40,79,2,5,4,2,45,85,1,1,0,0,"January 20, 2021",b,False,Decision - Unanimous,Women's Flyweight,3,5,15,0.2538860103626943,0.4672897196261682,0.24861878453038674,0.4427083333333333,0.22598870056497175,0.42245989304812837,0.6666666666666666,0.625,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333
Matt Schnell,Tyson Nam,0,0,85,58,0.39,0.3,85,58,0,0,0.0,0.0,0,0,0,0,0,0,69,36,10,10,6,12,83,58,2,0,0,0,"January 20, 2021",r,False,Decision - Split,Flyweight,3,5,15,0.397196261682243,0.3005181347150259,0.3915094339622642,0.3005181347150259,0.35384615384615387,0.21951219512195122,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.0,0.0,1.0
Lerone Murphy,Douglas Silva de Andrade,0,0,48,39,0.41,0.36,60,51,1,1,0.25,0.5,0,0,0,0,111,81,29,16,8,11,11,12,37,33,6,6,5,0,"January 20, 2021",r,False,Decision - Unanimous,Featherweight,3,5,15,0.4580152671755725,0.4214876033057851,0.38144329896907214,0.32673267326732675,0.31521739130434784,0.21621621621621623,0.7272727272727273,0.7857142857142857,0.9166666666666666,0.6,0.5,0.0,0.75
Omari Akhmedov,Tom Breese,0,0,25,1,0.65,0.25,73,6,2,0,0.4,0.0,1,3,0,1,274,60,23,0,1,1,1,0,4,1,0,0,21,0,"January 20, 2021",r,False,Submission,Middleweight,2,1,6,0.8021978021978022,0.5,0.5714285714285714,0.25,0.6764705882352942,0.0,0.3333333333333333,0.5,1.0,0.0,0.6774193548387096,0.0,0.0
Ricky Simon,Gaetano Pirrello,0,0,17,6,0.53,0.42,50,10,7,0,0.7,0.0,1,0,0,0,419,0,14,4,3,0,0,2,3,5,4,1,10,0,"January 20, 2021",r,False,Submission,Bantamweight,2,4,9,0.7246376811594203,0.5555555555555556,0.23076923076923078,0.4166666666666667,0.5,0.36363636363636365,0.75,0.0,0.0,0.6666666666666666,0.7692307692307693,0.0,0.6666666666666666
Su Mudaerji,Zarrukh Adashev,0,0,50,28,0.39,0.22,50,28,0,0,0.0,0.0,0,0,0,0,0,2,22,20,9,3,19,5,50,24,0,4,0,0,"January 20, 2021",r,False,Decision - Unanimous,Flyweight,3,5,15,0.3937007874015748,0.22764227642276422,0.3937007874015748,0.20512820512820512,0.25287356321839083,0.19607843137254902,0.5625,0.23076923076923078,0.7916666666666666,0.625,0.0,0.0,0.0
Dalcha Lungiambula,Markus Perez,0,0,29,25,0.44,0.51,61,50,1,0,0.5,0.0,0,1,0,0,406,261,17,7,12,15,0,3,5,18,5,7,19,0,"January 20, 2021",r,False,Decision - Unanimous,Middleweight,3,5,15,0.6224489795918368,0.6666666666666666,0.14705882352941177,0.4864864864864865,0.3617021276595745,0.2692307692307692,0.7058823529411765,0.8333333333333334,0.0,0.6,0.8260869565217391,0.0,0.625
Francisco Figueiredo,Jerome Rivera,0,0,29,31,0.54,0.23,39,85,4,0,0.66,0.0,0,0,0,1,427,67,11,12,7,8,11,11,20,22,4,9,5,0,"January 20, 2021",r,False,Decision - Unanimous,Flyweight,3,5,15,0.6,0.4271356783919598,0.5,0.19642857142857142,0.39285714285714285,0.13333333333333333,0.6363636363636364,0.4,0.7857142857142857,0.4583333333333333,0.5555555555555556,0.0,1.0
Mike Davis,Mason Jones,0,0,108,117,0.52,0.37,111,132,3,1,0.33,0.25,0,0,0,0,50,51,54,83,42,18,12,16,97,104,8,11,3,2,"January 20, 2021",r,False,Decision - Unanimous,Lightweight,3,5,15,0.5285714285714286,0.4012158054711246,0.5132275132275133,0.3649122807017544,0.4122137404580153,0.3132075471698113,0.6885245901639344,0.5806451612903226,0.8,0.9411764705882353,0.75,0.2857142857142857,0.5714285714285714
Umar Nurmagomedov,Sergey Morozov,0,0,25,7,0.6,0.23,32,8,5,0,0.45,0.0,1,0,0,0,177,8,14,2,4,3,7,2,18,7,6,0,1,0,"January 20, 2021",r,False,Submission,Bantamweight,2,3,8,0.6666666666666666,0.25806451612903225,0.5294117647058824,0.2413793103448276,0.56,0.1,0.4444444444444444,0.42857142857142855,1.0,0.6666666666666666,1.0,0.0,1.0
Victoria Leonardo,Manon Fiorot,0,0,17,53,0.2,0.53,18,58,0,1,0.0,1.0,0,0,0,0,2,85,7,31,3,14,7,8,15,42,2,10,0,1,"January 20, 2021",b,False,KO/TKO,Women's Flyweight,2,4,9,0.21951219512195122,0.5523809523809524,0.19736842105263158,0.5121951219512195,0.11864406779661017,0.4305555555555556,0.2727272727272727,0.7368421052631579,0.6363636363636364,0.8888888888888888,0.0,0.3333333333333333,0.4
Max Holloway,Calvin Kattar,0,0,445,133,0.59,0.47,447,134,0,0,0.0,0.0,0,0,0,0,27,5,274,99,117,16,54,18,439,129,6,4,0,0,"January 16, 2021",r,False,Decision - Unanimous,Featherweight,5,5,25,0.599195710455764,0.47183098591549294,0.5956580732700135,0.46236559139784944,0.49547920433996384,0.4177215189873418,0.8796992481203008,0.6956521739130435,0.9310344827586207,0.782608695652174,0.0,0.0,0.8571428571428571
