r_fighter,b_fighter,r_kd,b_kd,r_sig_str,b_sig_str,r_sig_str_per,b_sig_str_per,r_total_str,b_total_str,r_td,b_td,r_td_per,b_td_per,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl,b_ctrl,r_sig_head,b_sig_head,r_sig_body,b_sig_body,r_sig_leg,b_sig_leg,r_distance,b_distance,r_clinch,b_clinch,r_ground,b_ground,winner,title_bout,win_con,weight_class,num_rounds,round_length,r_str_acc,b_str_acc,r_distance_acc,b_distance_acc,r_head_acc,b_head_acc,r_body_acc,b_body_acc,r_leg_acc,b_leg_acc,r_ground_acc,b_ground_acc,r_clinch_acc
Gokhan Saki,Khalil Rountree Jr.,0,1,5,9,0.45,0.52,5,9,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,5,0.2857142857142857,0.5294117647058824,0.0,0.0,1.0,0.0,5,3,0,0,0,6,b,False,KO/TKO,Light Heavyweight,1,1,0.45454545454545453,0.5294117647058824,0.45454545454545453,0.2727272727272727,0.2857142857142857,0.5294117647058824,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Uriah Hall,Paulo Costa,0,1,58,75,0.47,0.64,58,76,0 of 1,0 of 0,0.0,0.0,0,0,0,0,3,8,0.47368421052631576,0.6388888888888888,0.8,0.9090909090909091,1.0,0.0,22,32,2,0,0,1,b,False,KO/TKO,Middleweight,2,2,0.47540983606557374,0.6495726495726496,0.5116279069767442,0.7111111111111111,0.47368421052631576,0.6388888888888888,0.8,0.9090909090909091,1.0,0.0,0.0,0.5,1.0
Raphael Assuncao,Rob Font,0,0,54,20,0.45,0.16,93,20,2 of 2,0 of 0,1.0,0.0,0,0,0,0,272,0,0.525,0.11428571428571428,0.6666666666666666,1.0,1.0,0.0,16,5,0,0,9,0,r,False,Decision - Unanimous,Bantamweight,3,5,0.577639751552795,0.16393442622950818,0.5161290322580645,0.1388888888888889,0.525,0.11428571428571428,0.6666666666666666,1.0,1.0,0.0,0.6428571428571429,0.0,0.0
Lando Vannata,Drakkar Klose,0,0,50,55,0.37,0.56,66,73,1 of 4,1 of 4,0.25,0.25,0,0,0,0,62,198,0.15789473684210525,0.4782608695652174,0.8571428571428571,0.0,0.7777777777777778,0.8333333333333334,12,13,4,3,0,0,b,False,Decision - Unanimous,Lightweight,3,5,0.44,0.6186440677966102,0.4,0.5,0.15789473684210525,0.4782608695652174,0.8571428571428571,0.0,0.7777777777777778,0.8333333333333334,0.0,0.0,0.8
Curtis Millender,Max Griffin,0,0,38,44,0.4,0.44,40,61,1 of 1,1 of 2,1.0,0.5,0,0,0,0,19,257,0.38461538461538464,0.35714285714285715,0.4,0.5,1.0,1.0,16,14,3,1,0,0,r,False,Decision - Unanimous,Welterweight,3,5,0.4166666666666667,0.5213675213675214,0.3902439024390244,0.42424242424242425,0.38461538461538464,0.35714285714285715,0.4,0.5,1.0,1.0,0.0,0.0,0.6
Dan Hooker,Gilbert Burns,2,0,22,13,0.64,0.46,22,13,0 of 0,0 of 1,0.0,0.0,1,0,0,0,15,0,0.5217391304347826,0.3125,1.0,0.5,0.8571428571428571,0.7,19,13,0,0,3,0,r,False,KO/TKO,Lightweight,1,2,0.6470588235294118,0.4482758620689655,0.6129032258064516,0.4642857142857143,0.5217391304347826,0.3125,1.0,0.5,0.8571428571428571,0.7,1.0,0.0,0.0
Jamie Moyle,Emily Whitmire,0,0,50,53,0.42,0.28,75,111,0 of 3,1 of 2,0.0,0.5,0,0,0,0,38,295,0.3333333333333333,0.5652173913043478,1.0,1.0,1.0,1.0,4,5,0,0,2,11,b,False,Decision - Unanimous,Women's Strawweight,3,5,0.5033557046979866,0.42045454545454547,0.5714285714285714,0.45454545454545453,0.3333333333333333,0.5652173913043478,1.0,1.0,1.0,1.0,0.6666666666666666,0.7333333333333333,0.0
Brad Tavares,Israel Adesanya,0,0,40,119,0.22,0.55,46,127,1 of 12,0 of 2,0.08,0.0,0,1,0,0,126,107,0.16666666666666666,0.46875,1.0,0.5,0.0,1.0,6,20,0,0,0,5,b,False,Decision - Unanimous,Middleweight,5,5,0.2541436464088398,0.5695067264573991,0.24,0.5128205128205128,0.16666666666666666,0.46875,1.0,0.5,0.0,1.0,0.0,1.0,0.0
Michael Trizano,Joe Giannetti,0,0,42,29,0.59,0.38,86,61,0 of 0,1 of 6,0.0,0.16,1,0,0,0,339,171,0.3333333333333333,0.06451612903225806,0.35294117647058826,0.6428571428571429,0.9473684210526315,1.0,31,19,0,0,0,0,r,False,Decision - Split,Ultimate Fighter 27 Lightweight Tournament,3,5,0.7413793103448276,0.5648148148148148,0.543859649122807,0.3584905660377358,0.3333333333333333,0.06451612903225806,0.35294117647058826,0.6428571428571429,0.9473684210526315,1.0,0.0,0.0,0.0
Jay Cucciniello,Brad Katona,0,0,14,71,0.21,0.63,18,117,0 of 1,2 of 7,0.0,0.28,0,0,0,0,0,499,0.1111111111111111,0.5833333333333334,1.0,0.0,0.0,1.0,1,3,1,0,0,13,b,False,Decision - Unanimous,Ultimate Fighter 27 Featherweight Tournament,3,5,0.2647058823529412,0.7005988023952096,0.125,0.3333333333333333,0.1111111111111111,0.5833333333333334,1.0,0.0,0.0,1.0,0.0,0.7222222222222222,1.0
Alex Caceres,Martin Bravo,0,0,82,78,0.51,0.33,86,109,0 of 1,3 of 9,0.0,0.33,0,0,0,0,43,221,0.5087719298245614,0.31958762886597936,0.8,0.5714285714285714,1.0,0.5,38,33,0,2,0,2,r,False,Decision - Split,Featherweight,3,5,0.5276073619631901,0.40370370370370373,0.5846153846153846,0.3333333333333333,0.5087719298245614,0.31958762886597936,0.8,0.5714285714285714,1.0,0.5,0.0,1.0,0.0
Roxanne Modafferi,Barb Honchak,0,0,51,24,0.39,0.3,86,24,1 of 1,0 of 1,1.0,0.0,0,0,0,0,324,0,0.46875,0.26666666666666666,0.0,0.0,0.0,0.0,3,4,0,0,27,0,r,False,KO/TKO,Women's Flyweight,2,3,0.5,0.3,0.16666666666666666,0.26666666666666666,0.46875,0.26666666666666666,0.0,0.0,0.0,0.0,0.5869565217391305,0.0,0.0
Alessio Di Chirico,Julian Marquez,0,0,50,47,0.43,0.31,55,49,4 of 6,0 of 1,0.66,0.0,0,2,0,0,238,3,0.42424242424242425,0.22448979591836735,0.7142857142857143,0.7777777777777778,1.0,0.5,22,17,0,2,0,0,r,False,Decision - Split,Middleweight,3,5,0.45081967213114754,0.3288590604026846,0.5116279069767442,0.29310344827586204,0.42424242424242425,0.22448979591836735,0.7142857142857143,0.7777777777777778,1.0,0.5,0.0,0.0,0.0
Montana De La Rosa,Rachael Ostovich,0,0,56,40,0.37,0.41,86,48,0 of 6,0 of 0,0.0,0.0,1,1,0,0,254,2,0.5862068965517241,0.5714285714285714,0.3333333333333333,1.0,0.0,0.0,3,6,0,1,15,0,r,False,Submission,Women's Flyweight,3,4,0.48044692737430167,0.4528301886792453,0.3333333333333333,0.6666666666666666,0.5862068965517241,0.5714285714285714,0.3333333333333333,1.0,0.0,0.0,0.75,0.0,0.0
Luis Pena,Richie Smullen,1,0,8,7,0.34,0.77,8,15,1 of 1,2 of 3,1.0,0.66,1,0,1,0,61,100,0.36363636363636365,0.6,0.0,1.0,0.0,1.0,8,3,0,0,0,4,r,False,Submission,Lightweight,1,3,0.34782608695652173,0.8823529411764706,0.4,0.6,0.36363636363636365,0.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0
John Gunther,Allan Zuniga,0,0,27,59,0.38,0.52,94,93,8 of 19,0 of 0,0.42,0.0,0,1,0,0,668,0,0.23333333333333334,0.4642857142857143,0.25,0.6,0.0,1.0,7,30,1,8,0,0,r,False,Decision - Majority,Lightweight,3,5,0.618421052631579,0.6326530612244898,0.21212121212121213,0.46153846153846156,0.23333333333333334,0.4642857142857143,0.25,0.6,0.0,1.0,0.0,0.0,1.0
Tyler Diamond,Bryce Mitchell,0,0,51,38,0.47,0.55,72,45,3 of 4,3 of 10,0.75,0.3,0,1,2,0,512,135,0.4838709677419355,0.36363636363636365,1.0,0.0,1.0,0.0,7,4,0,0,13,0,b,False,Decision - Majority,Featherweight,3,5,0.5581395348837209,0.5769230769230769,0.4117647058823529,0.2857142857142857,0.4838709677419355,0.36363636363636365,1.0,0.0,1.0,0.0,0.7222222222222222,0.0,0.0
Matt Bessette,Steven Peterson,0,0,57,74,0.4,0.42,88,115,0 of 3,2 of 6,0.0,0.33,0,1,1,1,92,433,0.2727272727272727,0.3888888888888889,1.0,0.875,0.0,0.0,2,3,2,6,0,5,b,False,Decision - Split,Featherweight,3,5,0.4971751412429379,0.5227272727272727,0.2,0.21428571428571427,0.2727272727272727,0.3888888888888889,1.0,0.875,0.0,0.0,0.0,0.8333333333333334,1.0
Gerald Meerschaert,Oskar Piechota,0,1,51,23,0.49,0.43,98,31,3 of 4,1 of 1,0.75,1.0,2,2,1,0,150,201,0.5,0.3125,1.0,0.0,1.0,1.0,8,10,20,3,19,0,r,False,Submission,Middleweight,2,4,0.6163522012578616,0.49206349206349204,0.25,0.3448275862068966,0.5,0.3125,1.0,0.0,1.0,1.0,0.6333333333333333,0.0,0.7142857142857143
Donald Cerrone,Leon Edwards,0,0,60,84,0.45,0.5,64,101,1 of 9,0 of 4,0.11,0.0,0,0,0,0,163,48,0.3,0.2,0.6666666666666666,0.5,0.6666666666666666,0.875,8,17,2,1,1,0,b,False,Decision - Unanimous,Welterweight,5,5,0.47058823529411764,0.5459459459459459,0.42105263157894735,0.5483870967741935,0.3,0.2,0.6666666666666666,0.5,0.6666666666666666,0.875,1.0,0.0,1.0
Ovince Saint Preux,Tyson Pedro,0,1,7,9,0.58,0.75,13,10,0 of 1,0 of 4,0.0,0.0,1,1,0,0,34,79,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.75,0.0,0.5,4,6,0,3,3,0,r,False,Submission,Light Heavyweight,1,2,0.7222222222222222,0.7692307692307693,0.5,0.75,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.75,0.0,0.5,0.75,0.0,0.0
Jessica-Rose Clark,Jessica Eye,0,0,51,67,0.36,0.29,51,74,0 of 0,1 of 2,0.0,0.5,0,0,0,0,2,125,0.19230769230769232,0.30612244897959184,0.8333333333333334,0.7333333333333333,1.0,0.5,10,22,2,0,1,5,b,False,Decision - Unanimous,Women's Flyweight,3,5,0.3669064748201439,0.31896551724137934,0.3333333333333333,0.36666666666666664,0.19230769230769232,0.30612244897959184,0.8333333333333334,0.7333333333333333,1.0,0.5,0.5,0.8333333333333334,0.6666666666666666
Li Jingliang,Daichi Abe,0,0,96,45,0.46,0.29,96,45,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,0,0.3023255813953488,0.12195121951219512,0.6,0.0,0.5789473684210527,1.0,27,11,0,0,0,0,r,False,Decision - Unanimous,Welterweight,3,5,0.46601941747572817,0.2922077922077922,0.40298507462686567,0.22,0.3023255813953488,0.12195121951219512,0.6,0.0,0.5789473684210527,1.0,0.0,0.0,0.0
Teruto Ishihara,Petr Yan,0,2,11,25,0.36,0.62,11,29,0 of 2,0 of 0,0.0,0.0,0,0,0,0,18,4,0.2222222222222222,0.5625,0.4,0.875,0.7142857142857143,0.0,9,19,2,1,0,5,b,False,KO/TKO,Bantamweight,1,3,0.36666666666666664,0.6444444444444445,0.32142857142857145,0.6129032258064516,0.2222222222222222,0.5625,0.4,0.875,0.7142857142857143,0.0,0.0,0.625,1.0
Felipe Arantes,Song Yadong,0,1,8,39,0.25,0.39,9,88,0 of 2,1 of 1,0.0,1.0,0,1,0,0,16,374,0.16666666666666666,0.4583333333333333,0.0,0.6666666666666666,1.0,0.0,2,2,0,1,0,12,b,False,KO/TKO,Bantamweight,2,4,0.28125,0.567741935483871,0.2,0.16666666666666666,0.16666666666666666,0.4583333333333333,0.0,0.6666666666666666,1.0,0.0,0.0,0.75,0.0
Rolando Dy,Shane Young,0,0,57,104,0.37,0.48,58,116,0 of 0,1 of 5,0.0,0.2,0,0,0,0,0,104,0.375,0.40540540540540543,0.625,1.0,1.0,1.0,29,40,4,12,0,0,b,False,KO/TKO,Featherweight,2,4,0.3790849673202614,0.5043478260869565,0.3972602739726027,0.40816326530612246,0.375,0.40540540540540543,0.625,1.0,1.0,1.0,0.0,0.0,0.5
Song Kenan,Hector Aldana,1,0,32,39,0.45,0.43,34,41,0 of 0,2 of 2,0.0,1.0,0,0,0,0,4,11,0.47058823529411764,0.24,1.0,0.75,0.8333333333333334,0.7333333333333333,18,20,0,0,5,0,r,False,KO/TKO,Welterweight,2,4,0.4473684210526316,0.44565217391304346,0.5142857142857142,0.45454545454545453,0.47058823529411764,0.24,1.0,0.75,0.8333333333333334,0.7333333333333333,0.7142857142857143,0.0,0.0
Shinsho Anzai,Jake Matthews,0,0,1,12,0.2,0.63,6,18,0 of 1,1 of 1,0.0,1.0,0,1,0,0,56,60,0.0,0.5625,1.0,1.0,0.0,0.0,0,5,1,5,0,2,b,False,Submission,Welterweight,1,2,0.46153846153846156,0.72,0.0,0.625,0.0,0.5625,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0
Viviane Pereira,Yan Xiaonan,0,0,44,71,0.2,0.31,44,71,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,0,0.1388888888888889,0.23809523809523808,0.2222222222222222,0.0,0.0,0.5625,11,24,1,0,0,0,b,False,Decision - Unanimous,Women's Strawweight,3,5,0.20754716981132076,0.31277533039647576,0.13924050632911392,0.3076923076923077,0.1388888888888889,0.23809523809523808,0.2222222222222222,0.0,0.0,0.5625,0.0,0.0,0.5
Matt Schnell,Naoki Inoue,0,0,71,48,0.38,0.24,79,64,0 of 1,0 of 1,0.0,0.0,0,0,0,0,0,37,0.29411764705882354,0.23636363636363636,0.4,0.6666666666666666,0.75,0.875,21,18,2,4,0,0,r,False,Decision - Split,Flyweight,3,5,0.4114583333333333,0.3018867924528302,0.3387096774193548,0.2903225806451613,0.29411764705882354,0.23636363636363636,0.4,0.6666666666666666,0.75,0.875,0.0,0.0,1.0
Jenel Lausa,Yuta Sasaki,0,0,7,25,0.5,0.44,9,34,0 of 0,5 of 7,0.0,0.71,0,1,0,0,12,411,0.4,0.34285714285714286,0.6666666666666666,0.8,1.0,0.5,5,6,0,0,2,11,b,False,Submission,Flyweight,2,4,0.5625,0.5151515151515151,0.4166666666666667,0.35294117647058826,0.4,0.34285714285714286,0.6666666666666666,0.8,1.0,0.5,1.0,0.44,0.0
Ji Yeon Kim,Melinda Fabian,0,0,73,72,0.3,0.41,93,79,0 of 0,0 of 1,0.0,0.0,0,0,0,0,146,2,0.15555555555555556,0.4,0.631578947368421,0.625,0.5,0.6666666666666666,9,15,11,6,0,0,r,False,Decision - Split,Women's Flyweight,3,5,0.3563218390804598,0.4388888888888889,0.17647058823529413,0.4838709677419355,0.15555555555555556,0.4,0.631578947368421,0.625,0.5,0.6666666666666666,0.0,0.0,0.7333333333333333
Robert Whittaker,Yoel Romero,0,2,128,111,0.39,0.46,129,149,0 of 1,3 of 10,0.0,0.3,0,0,0,0,37,261,0.29411764705882354,0.5,0.75,0.6666666666666666,0.75,1.0,14,10,0,2,0,14,r,False,Decision - Split,Middleweight,5,5,0.3932926829268293,0.519163763066202,0.5,0.35714285714285715,0.29411764705882354,0.5,0.75,0.6666666666666666,0.75,1.0,0.0,0.875,0.0
Rafael Dos Anjos,Colby Covington,0,0,105,99,0.53,0.33,130,142,3 of 6,7 of 18,0.5,0.38,0,0,0,0,134,757,0.36363636363636365,0.2826086956521739,1.0,0.5,1.0,1.0,14,19,3,1,0,0,b,False,Decision - Unanimous,Interim Welterweight,5,5,0.5829596412556054,0.41040462427745666,0.4,0.3584905660377358,0.36363636363636365,0.2826086956521739,1.0,0.5,1.0,1.0,0.0,0.0,1.0
Holly Holm,Megan Anderson,0,0,47,26,0.66,0.44,143,48,4 of 8,0 of 0,0.5,0.0,1,0,0,1,643,0,0.6153846153846154,0.5,0.8333333333333334,0.5,1.0,0.0,7,4,1,0,9,0,r,False,Decision - Unanimous,Women's Featherweight,3,5,0.8125,0.5925925925925926,0.6363636363636364,0.5,0.6153846153846154,0.5,0.8333333333333334,0.5,1.0,0.0,0.8181818181818182,0.0,1.0
Andrei Arlovski,Tai Tuivasa,0,1,51,54,0.4,0.45,52,54,0 of 2,0 of 0,0.0,0.0,0,0,0,0,38,99,0.30952380952380953,0.3888888888888889,0.8,0.7142857142857143,0.4,1.0,17,20,2,2,0,0,b,False,Decision - Unanimous,Heavyweight,3,5,0.4126984126984127,0.45,0.3541666666666667,0.46511627906976744,0.30952380952380953,0.3888888888888889,0.8,0.7142857142857143,0.4,1.0,0.0,0.0,0.5
Alistair Overeem,Curtis Blaydes,0,0,7,37,0.58,0.69,24,62,0 of 0,4 of 4,0.0,1.0,2,0,0,0,0,465,0.0,0.8076923076923077,1.0,1.0,0.0,0.0,2,3,0,10,0,10,b,False,KO/TKO,Heavyweight,3,2,0.7741935483870968,0.7294117647058823,0.5,0.5,0.0,0.8076923076923077,1.0,1.0,0.0,0.0,0.0,0.9090909090909091,0.0
Claudia Gadelha,Carla Esparza,0,0,26,43,0.4,0.41,78,205,4 of 5,2 of 4,0.8,0.5,1,0,0,0,302,215,0.3888888888888889,0.3611111111111111,0.6666666666666666,1.0,0.0,0.5,9,11,0,1,0,4,r,False,Decision - Split,Women's Strawweight,3,5,0.6290322580645161,0.7118055555555556,0.45,0.36666666666666664,0.3888888888888889,0.3611111111111111,0.6666666666666666,1.0,0.0,0.5,0.0,0.5714285714285714,0.0
Ricardo Lamas,Mirsad Bektic,0,0,34,31,0.54,0.34,69,97,0 of 4,2 of 4,0.0,0.5,2,0,1,0,54,515,0.2,0.23076923076923078,1.0,1.0,0.0,0.0,4,5,0,0,0,1,b,False,Decision - Split,Featherweight,3,5,0.711340206185567,0.5574712643678161,0.4,0.3333333333333333,0.2,0.23076923076923078,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Rashad Coulter,Chris de la Rocha,0,0,30,40,0.52,0.5,30,79,0 of 1,3 of 4,0.0,0.75,0,2,0,0,1,320,0.5,0.68,0.0,1.0,0.0,0.0,2,4,1,0,0,15,b,False,KO/TKO,Heavyweight,2,3,0.5172413793103449,0.6124031007751938,0.4,0.4,0.5,0.68,0.0,1.0,0.0,0.0,0.0,0.8823529411764706,1.0
Rashad Evans,Anthony Smith,0,1,1,6,0.16,0.66,2,6,0 of 1,0 of 1,0.0,0.0,0,0,0,0,15,4,0.16666666666666666,0.5714285714285714,0.0,0.0,0.0,1.0,0,2,1,2,0,2,b,False,KO/TKO,Light Heavyweight,1,0,0.2857142857142857,0.6666666666666666,0.0,0.5,0.16666666666666666,0.5714285714285714,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333
Joseph Benavidez,Sergio Pettis,0,0,59,74,0.31,0.44,86,87,2 of 14,0 of 0,0.14,0.0,0,0,0,0,264,0,0.16363636363636364,0.43636363636363634,0.5454545454545454,0.5,0.7142857142857143,0.0,20,25,0,2,0,0,b,False,Decision - Split,Flyweight,3,5,0.39814814814814814,0.47540983606557374,0.28169014084507044,0.423728813559322,0.16363636363636364,0.43636363636363634,0.5454545454545454,0.5,0.7142857142857143,0.0,0.0,0.0,0.0
Clay Guida,Charles Oliveira,0,0,9,14,0.36,0.48,9,14,0 of 1,0 of 0,0.0,0.0,0,1,0,0,0,2,0.2,0.3333333333333333,1.0,0.5,1.0,0.7777777777777778,8,14,1,0,0,0,b,False,Submission,Lightweight,1,2,0.36,0.4827586206896552,0.3333333333333333,0.5,0.2,0.3333333333333333,1.0,0.5,1.0,0.7777777777777778,0.0,0.0,1.0
Mike Santiago,Dan Ige,0,0,0,25,0.0,0.92,0,29,0 of 0,1 of 1,0.0,1.0,0,0,0,0,0,32,0.0,0.9259259259259259,0.0,0.0,0.0,0.0,0,2,0,2,0,21,b,False,KO/TKO,Featherweight,1,0,0.0,0.90625,0.0,1.0,0.0,0.9259259259259259,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.0
Jimmie Rivera,Marlon Moraes,0,1,0,7,0.0,0.77,0,7,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,0,0.0,0.75,0.0,0.0,0.0,1.0,0,2,0,0,0,5,b,False,KO/TKO,Bantamweight,1,0,0.0,0.7777777777777778,0.0,0.6666666666666666,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.8333333333333334,0.0
Gregor Gillespie,Vinc Pichel,0,0,13,7,0.5,0.31,30,35,7 of 9,0 of 0,0.77,0.0,2,0,0,0,471,0,0.5,0.3333333333333333,0.0,0.0,1.0,1.0,1,1,0,3,4,0,r,False,Submission,Lightweight,2,4,0.625,0.6862745098039216,0.25,0.14285714285714285,0.5,0.3333333333333333,0.0,0.0,1.0,1.0,0.8,0.0,0.0
Walt Harris,Daniel Spitz,1,0,29,17,0.36,0.4,30,17,0 of 0,0 of 0,0.0,0.0,0,0,0,0,10,0,0.35,0.08333333333333333,0.5,0.2,1.0,0.8888888888888888,8,10,1,0,9,0,r,False,KO/TKO,Heavyweight,2,4,0.375,0.40476190476190477,0.22857142857142856,0.38461538461538464,0.35,0.08333333333333333,0.5,0.2,1.0,0.8888888888888888,0.8181818181818182,0.0,1.0
Jake Ellenberger,Ben Saunders,0,1,5,10,0.55,0.47,7,11,0 of 0,0 of 0,0.0,0.0,0,0,0,0,40,0,0.5,0.4117647058823529,1.0,0.75,0.0,0.0,1,1,4,7,0,2,b,False,KO/TKO,Welterweight,1,1,0.5833333333333334,0.5,0.5,0.125,0.5,0.4117647058823529,1.0,0.75,0.0,0.0,0.0,0.6666666666666666,0.5714285714285714
Julio Arce,Daniel Teymur,0,0,63,37,0.35,0.36,80,39,0 of 1,0 of 2,0.0,0.0,1,0,0,0,80,92,0.3333333333333333,0.1111111111111111,0.5,0.0,0.0,0.45454545454545453,7,5,2,1,3,0,r,False,Submission,Featherweight,3,2,0.4020100502512563,0.37142857142857144,0.25,0.2631578947368421,0.3333333333333333,0.1111111111111111,0.5,0.0,0.0,0.45454545454545453,0.5,0.0,1.0
Gian Villante,Sam Alvey,0,1,50,53,0.37,0.43,50,59,0 of 0,0 of 0,0.0,0.0,0,0,0,0,6,0,0.2222222222222222,0.34285714285714286,0.5,0.0,1.0,0.5,16,14,0,0,0,0,b,False,Decision - Split,Light Heavyweight,3,5,0.37593984962406013,0.4609375,0.3018867924528302,0.34146341463414637,0.2222222222222222,0.34285714285714286,0.5,0.0,1.0,0.5,0.0,0.0,0.0
Sijara Eubanks,Lauren Murphy,0,0,75,49,0.35,0.39,96,71,2 of 4,0 of 2,0.5,0.0,0,0,0,0,290,10,0.36,0.2571428571428571,0.42857142857142855,0.6,1.0,0.5,25,12,0,1,6,0,r,False,Decision - Unanimous,Women's Flyweight,3,5,0.40336134453781514,0.48299319727891155,0.3424657534246575,0.2926829268292683,0.36,0.2571428571428571,0.42857142857142855,0.6,1.0,0.5,0.6666666666666666,0.0,0.0
Nik Lentz,David Teymur,0,0,61,67,0.42,0.35,63,72,0 of 5,0 of 0,0.0,0.0,0,0,0,0,44,6,0.28888888888888886,0.2549019607843137,1.0,0.625,1.0,0.8888888888888888,21,26,0,0,0,0,b,False,Decision - Unanimous,Lightweight,3,5,0.4315068493150685,0.375,0.39622641509433965,0.38235294117647056,0.28888888888888886,0.2549019607843137,1.0,0.625,1.0,0.8888888888888888,0.0,0.0,0.0
Belal Muhammad,Chance Rencountre,0,0,70,16,0.53,0.13,88,16,3 of 4,0 of 3,0.75,0.0,1,0,0,0,123,0,0.48484848484848486,0.07407407407407407,1.0,0.4,1.0,1.0,17,5,0,0,3,0,r,False,Decision - Unanimous,Welterweight,3,5,0.5906040268456376,0.13008130081300814,0.5,0.15151515151515152,0.48484848484848486,0.07407407407407407,1.0,0.4,1.0,1.0,1.0,0.0,0.0
Desmond Green,Gleison Tibau,0,0,77,28,0.4,0.15,77,29,0 of 0,0 of 3,0.0,0.0,0,0,0,0,0,0,0.43333333333333335,0.17857142857142858,0.36363636363636365,0.6666666666666666,1.0,1.0,30,14,1,0,0,0,r,False,Decision - Unanimous,Lightweight,3,5,0.4031413612565445,0.16201117318435754,0.42857142857142855,0.22950819672131148,0.43333333333333335,0.17857142857142858,0.36363636363636365,0.6666666666666666,1.0,1.0,0.0,0.0,0.5
Johnny Eduardo,Nathaniel Wood,0,0,37,33,0.42,0.34,37,33,0 of 1,0 of 0,0.0,0.0,0,1,0,0,3,41,0.2727272727272727,0.3,0.6666666666666666,1.0,1.0,0.5,6,9,0,0,0,0,b,False,Submission,Bantamweight,2,2,0.42045454545454547,0.3402061855670103,0.4,0.375,0.2727272727272727,0.3,0.6666666666666666,1.0,1.0,0.5,0.0,0.0,0.0
Jarred Brooks,Jose Torres,0,0,31,22,0.44,0.35,42,25,2 of 5,1 of 3,0.4,0.33,0,0,0,1,193,42,0.24,0.30303030303030304,0.5,0.7142857142857143,0.0,1.0,4,6,3,5,0,5,b,False,KO/TKO,Flyweight,2,2,0.525,0.38461538461538464,0.16666666666666666,0.21428571428571427,0.24,0.30303030303030304,0.5,0.7142857142857143,0.0,1.0,0.0,0.8333333333333334,1.0
Stephen Thompson,Darren Till,0,1,30,38,0.23,0.3,31,40,0 of 1,0 of 0,0.0,0.0,0,0,0,0,0,14,0.058823529411764705,0.29411764705882354,0.25,0.5,0.5,0.6666666666666666,3,8,0,1,0,0,b,False,Decision - Unanimous,Welterweight,5,5,0.2440944881889764,0.31007751937984496,0.13043478260869565,0.34782608695652173,0.058823529411764705,0.29411764705882354,0.25,0.5,0.5,0.6666666666666666,0.0,0.0,0.0
Neil Magny,Craig White,1,0,18,6,0.62,0.35,40,13,0 of 2,0 of 2,0.0,0.0,0,0,0,0,117,109,0.6363636363636364,0.1,0.5,1.0,1.0,0.6,2,5,3,1,13,0,r,False,KO/TKO,Welterweight,1,4,0.7547169811320755,0.4642857142857143,0.2222222222222222,0.4166666666666667,0.6363636363636364,0.1,0.5,1.0,1.0,0.6,0.7647058823529411,0.0,1.0
Arnold Allen,Mads Burnell,0,0,29,20,0.32,0.35,38,70,0 of 0,6 of 12,0.0,0.5,1,0,0,0,9,464,0.3333333333333333,0.2,0.0,1.0,0.0,0.0,2,2,0,0,0,0,r,False,Submission,Featherweight,3,2,0.37623762376237624,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jason Knight,Makwan Amirkhani,2,0,29,27,0.32,0.43,64,32,0 of 1,3 of 5,0.0,0.6,1,0,1,0,414,14,0.16666666666666666,0.4444444444444444,0.0,1.0,0.25,0.0,2,0,0,0,0,5,b,False,Decision - Split,Featherweight,3,5,0.5161290322580645,0.47058823529411764,0.2,0.0,0.16666666666666666,0.4444444444444444,0.0,1.0,0.25,0.0,0.0,0.8333333333333334,0.0
Claudio Silva,Nordine Taleb,0,0,18,6,0.46,0.5,25,6,1 of 3,1 of 2,0.33,0.5,1,0,0,0,108,11,0.4074074074074074,0.16666666666666666,0.6666666666666666,0.75,0.3333333333333333,1.0,6,4,3,2,9,0,r,False,Submission,Welterweight,1,4,0.49019607843137253,0.5,0.375,0.4444444444444444,0.4074074074074074,0.16666666666666666,0.6666666666666666,0.75,0.3333333333333333,1.0,0.47368421052631576,0.0,0.75
Eric Spicely,Darren Stewart,0,1,15,34,0.2,0.37,19,34,0 of 4,0 of 0,0.0,0.0,0,0,0,0,63,15,0.1875,0.4166666666666667,0.0,0.5,1.0,0.0,4,11,0,1,0,5,b,False,KO/TKO,Middleweight,2,1,0.24050632911392406,0.37777777777777777,0.23529411764705882,0.39285714285714285,0.1875,0.4166666666666667,0.0,0.5,1.0,0.0,0.0,0.5,0.0
