r_fighter,b_fighter,r_kd,b_kd,r_sig_str,b_sig_str,r_sig_str_per,b_sig_str_per,r_total_str,b_total_str,r_td,b_td,r_td_per,b_td_per,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl,b_ctrl,r_sig_head,b_sig_head,r_sig_body,b_sig_body,r_sig_leg,b_sig_leg,r_distance,b_distance,r_clinch,b_clinch,r_ground,b_ground,winner,title_bout,win_con,weight_class,num_rounds,round_length,r_str_acc,b_str_acc,r_distance_acc,b_distance_acc,r_head_acc,b_head_acc,r_body_acc,b_body_acc,r_leg_acc,b_leg_acc,r_ground_acc,b_ground_acc,r_clinch_acc
Cub Swanson,Tatsuya Kawajiri,0,0,67,23,0.61,0.22,91,51,1 of 1,3 of 12,1.0,0.25,1,0,0,1,122,327,0.6764705882352942,0.15,1.0,0.0,1.0,1.0,12,2,2,1,16,1,r,False,Decision - Unanimous,Featherweight,3,5,0.6842105263157895,0.38636363636363635,0.5714285714285714,0.16666666666666666,0.6764705882352942,0.15,1.0,0.0,1.0,1.0,0.9411764705882353,0.1111111111111111,0.6666666666666666
Chase Sherman,Justin Ledet,0,0,59,113,0.35,0.49,60,114,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,0,0.25,0.48333333333333334,0.0,0.0,0.75,0.0,10,29,0,0,0,0,b,False,Decision - Unanimous,Heavyweight,3,5,0.3592814371257485,0.4935064935064935,0.30303030303030304,0.48333333333333334,0.25,0.48333333333333334,0.0,0.0,0.75,0.0,0.0,0.0,0.0
Robbie Lawler,Tyron Woodley,0,1,3,8,0.5,0.72,4,8,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,19,0.0,0.7777777777777778,0.6,0.5,0.0,0.0,2,3,1,0,0,5,b,False,KO/TKO,Welterweight,1,2,0.5714285714285714,0.7272727272727273,0.4,0.5,0.0,0.7777777777777778,0.6,0.5,0.0,0.0,0.0,1.0,1.0
Rose Namajunas,Karolina Kowalkiewicz,0,0,70,84,0.48,0.34,74,128,2 of 6,0 of 0,0.33,0.0,0,0,0,0,146,138,0.3902439024390244,0.2727272727272727,1.0,0.7272727272727273,0.6666666666666666,0.6666666666666666,13,9,3,9,3,7,b,False,Decision - Split,Women's Strawweight,3,5,0.4966442953020134,0.43686006825938567,0.38235294117647056,0.20930232558139536,0.3902439024390244,0.2727272727272727,1.0,0.7272727272727273,0.6666666666666666,0.6666666666666666,1.0,0.6363636363636364,0.375
Matt Brown,Jake Ellenberger,0,2,7,21,0.41,0.61,7,29,0 of 1,0 of 0,0.0,0.0,0,0,0,0,0,41,0.3333333333333333,0.5806451612903226,1.0,1.0,0.0,1.0,5,7,2,0,0,14,b,False,KO/TKO,Welterweight,1,1,0.4117647058823529,0.6744186046511628,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.5806451612903226,1.0,1.0,0.0,1.0,0.0,0.7368421052631579,1.0
Francisco Rivera,Erik Perez,0,0,55,54,0.34,0.34,59,147,0 of 0,2 of 6,0.0,0.33,0,0,0,0,1,300,0.3170731707317073,0.3,1.0,0.8571428571428571,0.0,1.0,13,6,0,1,1,9,b,False,Decision - Unanimous,Bantamweight,3,5,0.3619631901840491,0.5675675675675675,0.325,0.2222222222222222,0.3170731707317073,0.3,1.0,0.8571428571428571,0.0,1.0,0.5,0.9,0.0
Ryan Benoit,Fredy Serrano,1,0,31,22,0.53,0.36,45,67,0 of 1,5 of 14,0.0,0.35,0,0,0,0,85,299,0.42857142857142855,0.0,1.0,1.0,1.0,0.0,7,2,7,0,0,0,r,False,Decision - Split,Flyweight,3,5,0.5921052631578947,0.5775862068965517,0.6363636363636364,0.18181818181818182,0.42857142857142855,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7777777777777778
Nikita Krylov,Ed Herman,1,0,60,26,0.5,0.47,70,36,0 of 0,1 of 1,0.0,1.0,0,0,0,0,55,25,0.4444444444444444,0.7142857142857143,0.25,0.0,1.0,0.0,5,4,1,1,0,0,r,False,KO/TKO,Light Heavyweight,2,0,0.546875,0.5538461538461539,0.38461538461538464,0.6666666666666666,0.4444444444444444,0.7142857142857143,0.25,0.0,1.0,0.0,0.0,0.0,1.0
Ross Pearson,Jorge Masvidal,0,1,52,113,0.37,0.44,53,130,2 of 2,1 of 1,1.0,1.0,0,0,0,0,30,36,0.23529411764705882,0.34444444444444444,0.5,0.6,0.875,1.0,22,36,0,0,0,0,b,False,Decision - Unanimous,Welterweight,3,5,0.381294964028777,0.4693140794223827,0.39285714285714285,0.3711340206185567,0.23529411764705882,0.34444444444444444,0.5,0.6,0.875,1.0,0.0,0.0,0.0
Anthony Hamilton,Damian Grabowski,1,0,9,1,0.56,0.33,11,2,0 of 0,0 of 0,0.0,0.0,0,0,0,0,2,0,0.5333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,3,0,6,1,0,0,r,False,KO/TKO,Heavyweight,1,0,0.6111111111111112,0.5,0.5,0.0,0.5333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.6
