winner,win_con,title_bout,r_fighter,b_fighter,weight_class,r_str_acc,b_str_acc,r_td,b_td,r_SLpM,b_SLpM,r_SApM,b_SApM,r_consec_wins,b_consec_wins,r_wins,b_wins,r_losses,b_losses,r_reach_adv,r_stance,b_stance
b,KO/TKO,False,CB Dollaway,Nate Marquardt,Middleweight,0.42,0.59,0,0,3.0,3.2,3.2,3.0,0,0,9,11,7,8,2.0,Orthodox,Orthodox
b,Decision - Split,False,Sarah Kaufman,Valentina Shevchenko,Women's Bantamweight,0.61,0.72,1,4,1.8,2.1333333333333333,2.1333333333333333,1.8,0,0,1,0,1,0,0.0,Orthodox,Southpaw
b,Submission,False,Josh Samman,Tamdan McCrory,Middleweight,0.52,0.73,2,2,0.7142857142857143,2.7857142857142856,2.7857142857142856,0.7142857142857143,3,0,3,3,0,3,3.0,Orthodox,Switch
r,Decision - Split,False,Nik Lentz,Danny Castillo,Lightweight,0.44,0.45,3,2,3.933333333333333,3.8,3.8,3.933333333333333,0,0,9,7,4,6,-3.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Kamaru Usman,Leon Edwards,Welterweight,0.6,0.45,6,0,3.2,1.7333333333333334,1.7333333333333334,3.2,1,2,1,2,0,1,2.0,Switch,Southpaw
b,Submission,False,Hayder Hassan,Vicente Luque,Welterweight,0.53,0.46,0,0,7.5,6.0,6.0,7.5,0,0,0,0,1,1,,,Orthodox
r,KO/TKO,False,Francis Ngannou,Luis Henrique,Heavyweight,0.55,0.5,0,1,3.5714285714285716,0.7142857142857143,0.7142857142857143,3.5714285714285716,0,0,0,0,0,0,9.0,Orthodox,Orthodox
b,KO/TKO,True,Jose Aldo,Conor McGregor,Featherweight,0.33,0.83,0,0,1.0,5.0,5.0,1.0,7,6,7,6,0,0,-4.0,Orthodox,Southpaw
b,KO/TKO,True,Chris Weidman,Luke Rockhold,Middleweight,0.64,0.65,3,2,2.6666666666666665,7.0,7.0,2.6666666666666665,9,4,9,4,0,1,1.0,Orthodox,Southpaw
b,Decision - Split,False,Jacare Souza,Yoel Romero,Middleweight,0.57,0.5,1,0,2.0,3.066666666666667,3.066666666666667,2.0,5,6,5,6,0,0,-1.0,Orthodox,Southpaw
r,Decision - Unanimous,False,Demian Maia,Gunnar Nelson,Welterweight,0.81,0.5,2,1,3.1333333333333333,0.13333333333333333,0.13333333333333333,3.1333333333333333,3,1,15,5,6,1,0.0,Southpaw,Switch
r,Decision - Unanimous,False,Max Holloway,Jeremy Stephens,Featherweight,0.57,0.49,1,0,3.8,3.1333333333333333,3.1333333333333333,3.8,7,1,10,11,3,10,-2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Urijah Faber,Frankie Saenz,Bantamweight,0.67,0.48,2,0,5.0,4.4,4.4,5.0,0,3,8,3,4,0,1.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Tecia Torres,Jocelyn Jones-Lybarger,Women's Strawweight,0.57,0.27,0,0,5.133333333333334,1.9333333333333333,1.9333333333333333,5.133333333333334,2,0,2,0,0,0,-4.0,Orthodox,Orthodox
r,Submission,False,Warlley Alves,Colby Covington,Welterweight,0.5,1.0,0,1,2.0,2.0,2.0,2.0,3,3,3,3,0,0,0.0,Orthodox,Orthodox
r,KO/TKO,False,Leonardo Santos,Kevin Lee,Lightweight,0.66,0.21,1,0,10.666666666666666,3.3333333333333335,3.3333333333333335,10.666666666666666,3,4,3,4,0,1,-2.0,Orthodox,Orthodox
b,KO/TKO,False,Joe Proctor,Magomed Mustafaev,Lightweight,0.69,0.66,0,0,9.0,18.0,18.0,9.0,1,1,4,1,2,0,1.0,Orthodox,Orthodox
b,Decision - Split,False,John Makdessi,Yancy Medeiros,Lightweight,0.58,0.29,0,0,7.6,5.333333333333333,5.333333333333333,7.6,0,0,6,2,4,3,-7.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Court McGee,Marcio Alexandre Junior,Welterweight,0.58,0.47,2,0,3.8666666666666667,1.5333333333333334,1.5333333333333334,3.8666666666666667,0,0,5,0,3,2,0.0,Orthodox,Southpaw
r,KO/TKO,False,Frankie Edgar,Chad Mendes,Featherweight,0.4,0.29,0,0,6.5,2.5,2.5,6.5,4,0,13,8,4,3,2.0,Orthodox,Orthodox
b,Decision - Unanimous,True,Artem Lobov,Ryan Hall,Ultimate Fighter 22 Lightweight Tournament,0.18,0.56,0,1,0.13333333333333333,1.5333333333333334,1.5333333333333334,0.13333333333333333,0,0,0,0,0,0,-5.0,Southpaw,Southpaw
b,Submission,False,Edson Barboza,Tony Ferguson,Lightweight,0.48,0.52,2,0,5.857142857142857,8.714285714285714,8.714285714285714,5.857142857142857,1,6,10,9,3,1,-1.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Joe Lauzon,Evan Dunham,Lightweight,0.37,0.43,0,1,2.8,8.466666666666667,8.466666666666667,2.8,1,2,12,9,7,6,1.0,Orthodox,Southpaw
r,Decision - Unanimous,False,Tatsuya Kawajiri,Jason Knight,Featherweight,0.73,0.66,6,0,1.8666666666666667,1.8666666666666667,1.8666666666666667,1.8666666666666667,1,0,2,0,1,0,-2.0,Orthodox,Orthodox
r,Decision - Split,False,Julian Erosa,Marcin Wrzosek,Lightweight,0.56,0.43,2,3,4.066666666666666,3.466666666666667,3.466666666666667,4.066666666666666,0,0,0,0,0,0,,Southpaw,
r,Decision - Unanimous,False,Gabriel Gonzaga,Konstantin Erokhin,Heavyweight,0.44,0.29,2,0,1.3333333333333333,1.0,1.0,1.3333333333333333,0,0,11,0,9,1,,Orthodox,
r,Decision - Unanimous,False,Ryan LaFlare,Mike Pierce,Welterweight,0.34,0.33,0,0,4.333333333333333,2.8,2.8,4.333333333333333,0,0,4,9,1,4,3.0,Southpaw,Orthodox
b,KO/TKO,False,Joby Sanchez,Geane Herrera,Flyweight,0.35,0.33,0,1,6.111111111111111,4.444444444444445,4.444444444444445,6.111111111111111,1,0,1,0,1,1,2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Chris Gruetzemacher,Abner Lloveras,Lightweight,0.56,0.49,0,2,6.866666666666666,6.266666666666667,6.266666666666667,6.866666666666666,0,0,0,0,0,0,,Orthodox,
r,Submission,False,Rose Namajunas,Paige VanZant,Women's Strawweight,0.57,0.2,8,0,2.590909090909091,0.45454545454545453,0.45454545454545453,2.590909090909091,1,3,1,3,1,0,0.0,Orthodox,Orthodox
b,Submission,False,Jim Miller,Michael Chiesa,Lightweight,0.46,0.43,0,2,1.0,1.8571428571428572,1.8571428571428572,1.0,1,1,14,5,5,2,-4.0,Southpaw,Southpaw
r,Submission,False,Sage Northcutt,Cody Pfister,Lightweight,0.88,0.62,2,2,1.6,1.0,1.0,1.6,1,1,1,1,0,1,-2.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Elias Theodorou,Thiago Santos,Middleweight,0.29,0.64,1,1,1.8666666666666667,3.466666666666667,3.466666666666667,1.8666666666666667,3,2,3,3,0,2,-1.0,Orthodox,Orthodox
r,KO/TKO,False,Tim Means,John Howard,Welterweight,0.52,0.37,0,3,7.4,4.0,4.0,7.4,0,1,6,7,4,6,3.0,Orthodox,Orthodox
b,KO/TKO,False,Omari Akhmedov,Sergio Moraes,Welterweight,0.29,0.3,1,0,2.9166666666666665,1.75,1.75,2.9166666666666665,2,3,3,3,1,1,1.0,Orthodox,Orthodox
r,Submission,False,Aljamain Sterling,Johnny Eduardo,Bantamweight,0.37,0.16,2,0,2.5555555555555554,0.4444444444444444,0.4444444444444444,2.5555555555555554,3,2,3,2,0,1,0.0,Orthodox,Orthodox
r,KO/TKO,False,Santiago Ponzinibbio,Andreas Stahl,Welterweight,0.62,0.41,0,2,12.0,3.5,3.5,12.0,0,0,2,0,2,1,,Orthodox,
r,Submission,False,Danny Roberts,Nathan Coy,Welterweight,0.31,0.4,0,1,3.0,5.5,5.5,3.0,0,0,0,0,0,0,5.0,Southpaw,Southpaw
r,Decision - Split,False,Zubaira Tukhugov,Phillipe Nover,Featherweight,0.25,0.25,1,0,1.4,1.3333333333333333,1.3333333333333333,1.4,2,1,2,1,0,3,-4.0,Orthodox,Orthodox
r,Submission,False,Kailin Curran,Emily Kagan,Women's Strawweight,0.42,0.27,1,1,2.3333333333333335,2.4444444444444446,2.4444444444444446,2.3333333333333335,0,0,0,0,2,1,,Orthodox,
r,Decision - Split,False,Benson Henderson,Jorge Masvidal,Welterweight,0.58,0.49,3,1,3.44,3.08,3.08,3.44,1,1,10,6,3,2,-4.0,Southpaw,Orthodox
r,KO/TKO,False,Dong Hyun Kim,Dominic Waters,Welterweight,0.75,0.0,1,0,2.0,0.0,0.0,2.0,1,0,11,0,3,1,-3.0,Southpaw,Orthodox
b,Decision - Split,False,Yoshihiro Akiyama,Alberto Mina,Welterweight,0.54,0.45,0,2,5.2,4.6,4.6,5.2,1,1,2,1,4,0,-2.0,Orthodox,Orthodox
r,KO/TKO,False,Dooho Choi,Sam Sicilia,Featherweight,0.69,0.42,0,0,18.0,8.0,8.0,18.0,1,2,1,5,0,4,3.0,Orthodox,Orthodox
r,KO/TKO,False,Dongi Yang,Jake Collier,Middleweight,0.69,0.53,1,0,4.833333333333333,3.6666666666666665,3.6666666666666665,4.833333333333333,0,1,1,1,3,1,-5.0,Southpaw,Orthodox
b,Decision - Split,False,Yui Chul Nam,Mike de la Torre,Featherweight,0.44,0.49,1,0,3.533333333333333,3.1333333333333333,3.1333333333333333,3.533333333333333,0,0,1,1,1,2,,,Orthodox
r,Decision - Split,False,Tae Hyun Bang,Leo Kuntz,Lightweight,0.49,0.34,1,3,3.6,2.066666666666667,2.066666666666667,3.6,0,0,1,0,2,1,,Switch,
r,Decision - Unanimous,False,Seo Hee Ham,Cortney Casey,Women's Strawweight,0.4,0.34,0,0,4.733333333333333,5.2,5.2,4.733333333333333,0,0,0,0,1,1,-5.0,Southpaw,Orthodox
b,KO/TKO,False,Yao Zhikui,Fredy Serrano,Flyweight,0.16,0.6,0,1,1.0,3.0,3.0,1.0,1,1,1,1,1,0,-1.0,Orthodox,Orthodox
b,Decision - Split,False,Guangyou Ning,Marco Beltran,Bantamweight,0.37,0.33,0,1,1.5333333333333334,2.0,2.0,1.5333333333333334,2,1,2,1,0,0,-5.0,Southpaw,Orthodox
r,KO/TKO,False,Dominique Steele,Dong Hyun Ma,Welterweight,0.59,0.45,4,0,3.6,1.9,1.9,3.6,0,0,0,0,1,0,4.0,Orthodox,Orthodox
r,Decision - Split,False,Neil Magny,Kelvin Gastelum,Welterweight,0.37,0.4,6,2,2.16,2.16,2.16,2.16,1,1,9,6,3,1,9.0,Orthodox,Southpaw
r,Decision - Unanimous,False,Ricardo Lamas,Diego Sanchez,Featherweight,0.52,0.34,3,1,3.8,2.0,2.0,3.8,0,1,6,14,2,7,-1.0,Orthodox,Southpaw
b,Decision - Split,False,Jussier Formiga,Henry Cejudo,Flyweight,0.28,0.39,0,2,1.6666666666666667,2.8666666666666667,2.8666666666666667,1.6666666666666667,3,3,4,3,2,0,3.0,Orthodox,Orthodox
r,Decision - Split,True,Erick Montano,Enrique Marin,Ultimate Fighter Latin America 2 Welterweight Tournament,0.42,0.28,2,1,3.2666666666666666,1.8,1.8,3.2666666666666666,0,0,0,0,0,0,,Orthodox,
b,Decision - Unanimous,True,Horacio Gutierrez,Enrique Barzola,Ultimate Fighter Latin America 2 Lightweight Tournament,0.26,0.53,0,5,0.6666666666666666,2.533333333333333,2.533333333333333,0.6666666666666666,0,0,0,0,0,0,,,Orthodox
b,Decision - Unanimous,False,Efrain Escudero,Leandro Silva,Lightweight,0.38,0.39,2,0,1.6,2.3333333333333335,2.3333333333333335,1.6,2,2,5,2,5,2,-1.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Erik Perez,Taylor Lapilus,Bantamweight,0.33,0.25,1,0,2.066666666666667,1.3333333333333333,1.3333333333333333,2.066666666666667,0,2,4,2,2,0,-5.0,Orthodox,Southpaw
b,Decision - Unanimous,False,Hector Urbina,Bartosz Fabinski,Welterweight,0.4,0.64,0,6,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,1,1,1,1,0,0,-2.0,Orthodox,Orthodox
r,KO/TKO,False,Alejandro Perez,Scott Jorgensen,Bantamweight,0.42,0.29,0,2,4.333333333333333,1.2222222222222223,1.2222222222222223,4.333333333333333,0,0,1,4,1,7,1.0,Orthodox,Orthodox
b,KO/TKO,False,Gabriel Benitez,Andre Fili,Featherweight,0.42,0.38,0,1,3.6666666666666665,5.333333333333333,5.333333333333333,3.6666666666666665,2,0,2,2,0,2,-3.0,Southpaw,Orthodox
b,KO/TKO,False,Vernon Ramos Ho,Alvaro Herrera Mendoza,Welterweight,0.25,0.44,0,0,2.0,4.0,4.0,2.0,0,0,0,0,0,0,,,Orthodox
b,KO/TKO,False,Cesar Arzamendia,Marco Polo Reyes,Lightweight,0.34,0.32,3,0,5.333333333333333,3.3333333333333335,3.3333333333333335,5.333333333333333,0,0,0,0,0,0,,,Orthodox
b,Decision - Split,False,Valmir Lazaro,Michel Prazeres,Lightweight,0.4,0.37,0,1,2.7333333333333334,1.3333333333333333,1.3333333333333333,2.7333333333333334,1,0,1,2,1,2,6.0,Orthodox,Orthodox
b,KO/TKO,True,Ronda Rousey,Holly Holm,Women's Bantamweight,0.26,0.71,0,1,3.4,7.6,7.6,3.4,6,2,6,2,0,0,-3.0,Orthodox,Southpaw
r,Decision - Unanimous,True,Joanna Jedrzejczyk,Valerie Letourneau,Women's Strawweight,0.49,0.32,0,1,8.8,4.12,4.12,8.8,4,3,4,3,0,0,-3.0,Orthodox,Orthodox
r,KO/TKO,False,Mark Hunt,Antonio Silva,Heavyweight,0.66,0.52,0,0,4.0,3.0,3.0,4.0,0,1,5,3,4,4,-10.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Uriah Hall,Robert Whittaker,Middleweight,0.47,0.46,0,1,3.0,4.466666666666667,4.466666666666667,3.0,2,3,5,5,3,2,6.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Stefan Struve,Jared Rosholt,Heavyweight,0.56,0.43,1,4,2.2,1.0666666666666667,1.0666666666666667,2.2,1,2,10,5,5,1,9.0,Orthodox,Orthodox
r,TKO - Doctor's Stoppage,False,Jake Matthews,Akbarh Arreola,Lightweight,0.63,0.51,1,0,6.2,2.1,2.1,6.2,0,0,2,1,1,2,2.0,Orthodox,Southpaw
r,KO/TKO,False,Kyle Noke,Peter Sobotta,Welterweight,0.53,0.33,0,0,11.5,1.0,1.0,11.5,1,2,5,2,3,3,1.0,Southpaw,Southpaw
b,KO/TKO,False,Anthony Perosh,Gian Villante,Light Heavyweight,0.18,0.55,0,0,3.0,9.5,9.5,3.0,0,0,5,3,6,3,-1.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Richie Vaculik,Danny Martinez,Flyweight,0.4,0.31,3,9,4.2,3.6,3.6,4.2,0,0,1,0,2,3,2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Daniel Kelly,Steve Montgomery,Middleweight,0.52,0.4,5,0,4.2,5.133333333333334,5.133333333333334,4.2,0,0,2,0,1,1,,Southpaw,
r,Decision - Unanimous,False,Richard Walsh,Steve Kennedy,Welterweight,0.54,0.37,0,3,6.2,2.533333333333333,2.533333333333333,6.2,0,0,1,0,2,1,,Orthodox,
r,KO/TKO,False,James Moontasri,Anton Zafir,Welterweight,0.52,0.68,0,1,2.75,4.25,4.25,2.75,0,0,1,0,2,0,,Switch,
r,Submission,False,Ben Nguyen,Ryan Benoit,Flyweight,0.61,0.16,0,0,5.5,0.5,0.5,5.5,1,1,1,1,0,1,-3.0,Switch,Orthodox
r,KO/TKO,False,Vitor Belfort,Dan Henderson,Middleweight,0.54,1.0,0,0,3.0,1.5,1.5,3.0,0,1,13,8,7,7,0.0,Southpaw,Orthodox
r,KO/TKO,False,Glover Teixeira,Patrick Cummins,Light Heavyweight,0.52,0.36,0,4,9.0,5.5,5.5,9.0,1,1,6,4,2,2,0.0,Orthodox,Orthodox
r,KO/TKO,False,Thomas Almeida,Anthony Birchak,Bantamweight,0.48,0.29,0,0,6.0,6.75,6.75,6.0,3,1,3,1,0,1,1.0,Southpaw,Orthodox
r,KO/TKO,False,Alex Oliveira,Piotr Hallmann,Lightweight,0.38,0.5,0,1,4.2,3.6,3.6,4.2,2,0,2,2,1,3,5.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Gilbert Burns,Rashid Magomedov,Lightweight,0.36,0.55,2,2,1.8666666666666667,5.333333333333333,5.333333333333333,1.8666666666666667,3,3,3,3,0,0,1.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Fabio Maldonado,Corey Anderson,Light Heavyweight,0.48,0.44,0,6,1.7333333333333334,4.0,4.0,1.7333333333333334,0,1,5,3,5,1,-4.0,Orthodox,Orthodox
b,DQ,False,Gleison Tibau,Abel Trujillo,Lightweight,0.6,0.0,2,0,3.0,0.0,0.0,3.0,0,0,16,3,9,2,1.0,Southpaw,Orthodox
b,Decision - Unanimous,False,Yan Cabral,Johnny Case,Lightweight,0.47,0.46,3,0,2.066666666666667,4.933333333333334,4.933333333333334,2.066666666666667,1,3,2,3,1,0,1.0,Orthodox,Orthodox
b,Submission,False,Clay Guida,Thiago Tavares,Featherweight,0.27,0.28,1,0,3.0,2.0,2.0,3.0,1,0,12,9,9,6,0.0,Orthodox,Orthodox
b,Submission,False,Edimilson Souza,Chas Skelly,Featherweight,0.54,0.38,0,2,3.1666666666666665,1.1666666666666667,1.1666666666666667,3.1666666666666665,3,3,3,3,0,1,2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Viscardi Andrade,Gasan Umalatov,Welterweight,0.42,0.37,0,0,5.2,2.533333333333333,2.533333333333333,5.2,0,0,1,1,1,2,4.0,Orthodox,Orthodox
b,Decision - Split,False,Pedro Munhoz,Jimmie Rivera,Bantamweight,0.36,0.41,0,0,4.4,6.4,6.4,4.4,1,1,1,1,1,0,-3.0,Orthodox,Orthodox
b,Submission,False,Bruno Rodrigues,Matheus Nicolau Pereira,Bantamweight,0.34,0.59,0,3,2.076923076923077,3.5384615384615383,3.5384615384615383,2.076923076923077,0,0,0,0,0,0,,,Orthodox
b,Submission,False,Paddy Holohan,Louis Smolka,Flyweight,0.4,0.66,4,0,1.7777777777777777,6.555555555555555,6.555555555555555,1.7777777777777777,2,2,3,3,1,1,1.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Norman Parke,Reza Madadi,Lightweight,0.32,0.34,1,1,3.1333333333333333,2.2,2.2,3.1333333333333333,0,1,4,2,2,1,-3.0,Southpaw,Orthodox
r,Submission,False,Neil Seery,Jon Delos Reyes,Flyweight,0.4,0.33,2,3,4.222222222222222,2.7777777777777777,2.7777777777777777,4.222222222222222,0,1,2,1,2,2,-3.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Stevie Ray,Mickael Lebout,Lightweight,0.32,0.19,1,0,3.2,1.8,1.8,3.2,2,1,2,1,0,1,-3.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Aisling Daly,Ericka Almeida,Women's Strawweight,0.56,0.43,2,1,3.933333333333333,1.2666666666666666,1.2666666666666666,3.933333333333333,0,0,1,0,1,1,,Orthodox,
b,Decision - Split,False,Scott Askham,Krzysztof Jotko,Middleweight,0.32,0.37,0,2,1.4666666666666666,2.533333333333333,2.533333333333333,1.4666666666666666,1,1,1,2,1,1,-2.0,Southpaw,Southpaw
b,KO/TKO,False,Cathal Pendred,Tom Breese,Welterweight,0.2,0.65,0,0,1.25,5.75,5.75,1.25,0,1,4,1,1,0,2.0,Orthodox,Southpaw
r,Decision - Unanimous,False,Darren Elkins,Robert Whiteford,Featherweight,0.3,0.36,7,1,2.6666666666666665,1.5333333333333334,1.5333333333333334,2.6666666666666665,0,2,8,2,4,1,2.0,Orthodox,Southpaw
b,KO/TKO,False,Bubba Bush,Garreth McLellan,Middleweight,0.57,0.72,3,2,0.5714285714285714,6.928571428571429,6.928571428571429,0.5714285714285714,0,0,0,0,0,1,,,Southpaw
r,Decision - Split,True,Daniel Cormier,Alexander Gustafsson,Light Heavyweight,0.49,0.47,1,1,5.6,4.8,4.8,5.6,1,0,5,8,1,3,-7.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Ryan Bader,Rashad Evans,Light Heavyweight,0.39,0.22,1,0,3.466666666666667,1.6666666666666667,1.6666666666666667,3.466666666666667,4,2,12,14,4,3,-1.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Shawn Jordan,Ruslan Magomedov,Heavyweight,0.35,0.61,1,0,1.3333333333333333,4.733333333333333,4.733333333333333,1.3333333333333333,3,2,6,2,3,0,-3.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Joseph Benavidez,Ali Bagautinov,Flyweight,0.32,0.25,0,0,3.2,2.066666666666667,2.066666666666667,3.2,3,0,9,3,2,1,0.0,Southpaw,Orthodox
b,Decision - Unanimous,False,Jessica Eye,Julianna Pena,Women's Bantamweight,0.55,0.5,1,3,2.0,2.2666666666666666,2.2666666666666666,2.0,0,2,1,2,2,0,-3.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Yair Rodriguez,Dan Hooker,Featherweight,0.5,0.24,2,1,3.466666666666667,1.2666666666666666,1.2666666666666666,3.466666666666667,2,1,2,2,0,1,-4.0,Orthodox,Switch
b,KO/TKO,False,Alan Jouban,Albert Tumenov,Welterweight,0.5,0.46,0,0,8.5,9.5,9.5,8.5,2,3,3,3,1,1,0.0,Southpaw,Orthodox
r,KO/TKO,False,Adriano Martins,Islam Makhachev,Lightweight,0.42,0.26,0,0,3.0,4.0,4.0,3.0,2,1,3,1,1,0,2.0,Southpaw,Orthodox
r,Submission,False,Rose Namajunas,Angela Hill,Women's Strawweight,0.39,0.54,1,0,6.5,6.0,6.0,6.5,0,0,0,1,1,1,1.0,Orthodox,Orthodox
b,KO/TKO,False,Francisco Trevino,Sage Northcutt,Lightweight,0.33,0.67,0,1,1.0,21.0,21.0,1.0,0,0,1,0,1,0,-1.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Chris Cariaso,Sergio Pettis,Flyweight,0.46,0.3,0,3,2.466666666666667,2.466666666666667,2.466666666666667,2.466666666666667,0,0,7,3,5,2,-5.0,Southpaw,Orthodox
r,KO/TKO,False,Derrick Lewis,Viktor Pesta,Heavyweight,0.65,0.61,0,5,3.727272727272727,0.7272727272727273,0.7272727272727273,3.727272727272727,0,1,3,1,2,1,2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Josh Barnett,Roy Nelson,Heavyweight,0.71,0.52,0,4,5.84,2.4,2.4,5.84,0,0,5,7,2,7,5.0,Orthodox,Orthodox
b,KO/TKO,False,Gegard Mousasi,Uriah Hall,Middleweight,0.7,0.75,1,0,3.4,3.6,3.6,3.4,2,1,4,4,2,3,-3.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Kyoji Horiguchi,Chico Camus,Flyweight,0.34,0.32,0,0,5.2,4.2,4.2,5.2,0,0,4,3,1,3,0.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Takeya Mizugaki,George Roop,Bantamweight,0.43,0.41,0,0,4.666666666666667,3.1333333333333333,3.1333333333333333,4.666666666666667,0,0,7,5,4,7,-3.0,Orthodox,Orthodox
b,KO/TKO,False,Katsunori Kikuno,Diego Brandao,Featherweight,1.0,0.82,0,0,1.0,14.0,14.0,1.0,0,1,2,5,2,3,2.0,Orthodox,Orthodox
r,Submission,False,Keita Nakamura,Li Jingliang,Welterweight,0.45,0.55,0,1,3.3333333333333335,6.583333333333333,6.583333333333333,3.3333333333333335,0,1,0,2,3,1,2.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Nick Hein,Yusuke Kasuya,Lightweight,0.41,0.44,0,1,3.066666666666667,2.933333333333333,2.933333333333333,3.066666666666667,1,0,2,0,1,0,,Southpaw,
b,Decision - Unanimous,False,Naoyuki Kotani,Kajan Johnson,Lightweight,0.38,0.54,1,0,1.4,3.8,3.8,1.4,0,1,0,1,4,1,-9.0,Southpaw,Orthodox
r,TKO - Doctor's Stoppage,False,Shinsho Anzai,Roger Zapata,Welterweight,0.63,0.51,2,0,2.3,2.8,2.8,2.3,0,0,0,0,1,0,,Orthodox,
r,Decision - Unanimous,True,Demetrious Johnson,John Dodson,Flyweight,0.51,0.47,4,1,3.52,2.32,2.32,3.52,8,3,10,6,1,1,0.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Andrei Arlovski,Frank Mir,Heavyweight,0.52,0.46,0,1,2.6,1.6,1.6,2.6,6,2,13,16,4,9,-2.0,Orthodox,Southpaw
r,KO/TKO,False,Anthony Johnson,Jimi Manuwa,Light Heavyweight,0.59,0.4,2,0,5.0,1.6,1.6,5.0,0,1,10,4,5,1,-1.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Jan Blachowicz,Corey Anderson,Light Heavyweight,0.46,0.56,1,4,1.3333333333333333,5.6,5.6,1.3333333333333333,0,0,1,2,1,1,-1.0,Orthodox,Orthodox
r,Submission,False,Paige VanZant,Alex Chambers,Women's Strawweight,0.56,0.63,3,0,6.636363636363637,2.727272727272727,2.727272727272727,6.636363636363637,2,1,2,1,0,1,2.0,Orthodox,Southpaw
r,Decision - Split,False,Ross Pearson,Paul Felder,Lightweight,0.53,0.39,1,0,4.133333333333334,4.0,4.0,4.133333333333334,0,0,9,2,6,1,-1.0,Orthodox,Orthodox
b,Submission,False,Francisco Rivera,John Lineker,Bantamweight,0.44,0.46,0,0,8.0,14.0,14.0,8.0,1,2,4,6,3,2,3.0,Orthodox,Orthodox
b,Submission,False,Jessica Andrade,Raquel Pennington,Women's Bantamweight,0.62,0.6,4,2,4.555555555555555,4.555555555555555,4.555555555555555,4.555555555555555,1,0,4,2,2,2,-5.0,Orthodox,Orthodox
b,Decision - Split,False,Clay Collard,Tiago dos Santos e Silva,Featherweight,0.4,0.42,1,1,5.6,3.466666666666667,3.466666666666667,5.6,0,0,1,1,2,1,3.0,Orthodox,Orthodox
r,DQ,False,Joe Riggs,Ron Stallings,Middleweight,0.57,0.66,2,0,5.0,3.4285714285714284,3.4285714285714284,5.0,0,1,4,1,6,1,-5.0,Southpaw,Southpaw
r,Decision - Split,False,Joaquim Silva,Nazareno Malegarie,Lightweight,0.3,0.34,0,1,3.2666666666666666,3.8666666666666667,3.8666666666666667,3.2666666666666666,0,0,0,0,0,0,,Southpaw,
r,KO/TKO,False,Max Holloway,Charles Oliveira,Featherweight,0.48,0.29,0,0,14.0,5.0,5.0,14.0,6,4,9,8,3,4,-5.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Neil Magny,Erick Silva,Welterweight,0.51,0.49,4,3,4.533333333333333,1.9333333333333333,1.9333333333333333,4.533333333333333,0,2,8,6,3,4,6.0,Orthodox,Orthodox
r,KO/TKO,False,Patrick Cote,Joshua Burkman,Welterweight,0.64,0.49,0,1,5.454545454545454,4.090909090909091,4.090909090909091,5.454545454545454,1,0,8,5,9,6,3.0,Orthodox,Orthodox
b,KO/TKO,False,Chad Laprise,Francisco Trinaldo,Lightweight,0.47,0.47,0,0,4.0,8.5,8.5,4.0,3,3,3,7,0,3,1.0,Orthodox,Southpaw
r,Decision - Unanimous,False,Olivier Aubin-Mercier,Tony Sims,Lightweight,0.37,0.79,6,0,0.2,1.5333333333333334,1.5333333333333334,0.2,2,1,2,1,1,0,0.0,Southpaw,Southpaw
b,Decision - Unanimous,False,Maryna Moroz,Valerie Letourneau,Women's Strawweight,0.34,0.47,0,1,3.6666666666666665,4.6,4.6,3.6666666666666665,1,2,1,2,0,0,-1.0,Orthodox,Orthodox
b,KO/TKO,False,Sam Stout,Frankie Perez,Lightweight,0.12,0.8,0,0,2.0,12.0,12.0,2.0,0,0,9,0,10,1,-3.0,Orthodox,Orthodox
