winner,win_con,title_bout,r_fighter,b_fighter,weight_class,r_str_acc,b_str_acc,r_td,b_td,r_SLpM,b_SLpM,r_SApM,b_SApM,r_consec_wins,b_consec_wins,r_wins,b_wins,r_losses,b_losses,r_reach_adv,r_stance,b_stance
r,KO/TKO,False,Aspen Ladd,Yana Kunitskaya,Women's Bantamweight,0.55,0.58,2,0,4.7,4.7,4.7,4.7,0,2,3,2,1,1,-2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Rob Font,Ricky Simon,Bantamweight,0.44,0.38,1,6,6.0,3.933333333333333,3.933333333333333,6.0,1,0,6,3,3,1,2.0,Orthodox,Orthodox
b,Submission,False,Thiago Alves,Tim Means,Welterweight,0.5,0.56,0,0,6.5,11.5,11.5,6.5,0,0,15,10,11,8,-5.0,Orthodox,Orthodox
r,Submission,False,Billy Quarantillo,Jacob Kilburn,Featherweight,0.86,0.5,1,0,9.25,0.375,0.375,9.25,0,0,0,0,0,0,-2.0,Orthodox,Orthodox
r,Submission,False,Bryce Mitchell,Matt Sayles,Featherweight,0.85,0.5,1,0,1.5,0.5,0.5,1.5,2,1,2,1,0,1,2.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Joe Solecki,Matt Wiman,Lightweight,0.8,0.45,4,0,3.7333333333333334,0.6666666666666666,0.6666666666666666,3.7333333333333334,0,0,0,10,0,6,2.0,Orthodox,Orthodox
r,Submission,False,Virna Jandiroba,Mallory Martin,Women's Strawweight,0.35,0.3,3,0,1.1666666666666667,1.5,1.5,1.1666666666666667,0,0,0,0,1,0,1.0,Orthodox,Orthodox
r,KO/TKO,False,Makhmud Muradov,Trevor Smith,Middleweight,0.49,0.4,1,0,6.5,2.7857142857142856,2.7857142857142856,6.5,1,0,1,5,0,6,0.0,Orthodox,Orthodox
r,Decision - Split,False,Jan Blachowicz,Jacare Souza,Light Heavyweight,0.41,0.41,0,0,2.84,0.8,0.8,2.84,1,0,7,9,5,4,6.0,Orthodox,Orthodox
r,KO/TKO,False,Charles Oliveira,Jared Gordon,Lightweight,0.62,0.38,0,0,10.0,7.0,7.0,10.0,5,1,15,3,8,2,6.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Antonio Arroyo,Andre Muniz,Middleweight,0.61,0.52,1,3,1.9333333333333333,1.4666666666666666,1.4666666666666666,1.9333333333333333,0,0,0,0,0,0,-5.0,Orthodox,Southpaw
b,Decision - Unanimous,False,Markus Perez,Wellington Turman,Middleweight,0.51,0.4,0,2,3.2666666666666666,3.2,3.2,3.2666666666666666,1,0,2,0,2,1,1.0,Orthodox,Orthodox
b,KO/TKO,False,Sergio Moraes,James Krause,Welterweight,0.41,0.58,1,0,2.9285714285714284,7.285714285714286,7.285714285714286,2.9285714285714284,0,5,8,7,4,3,-1.0,Orthodox,Orthodox
r,Submission,False,Ricardo Ramos,Eduardo Garagorri,Featherweight,0.29,0.37,2,0,3.3333333333333335,2.0,2.0,3.3333333333333335,1,1,4,1,1,0,2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Francisco Trinaldo,Bobby Green,Lightweight,0.25,0.43,1,2,2.066666666666667,3.3333333333333335,3.3333333333333335,2.066666666666667,0,0,13,5,6,4,-1.0,Southpaw,Orthodox
b,Submission,False,Warlley Alves,Randy Brown,Welterweight,0.27,0.53,3,1,0.5,2.6666666666666665,2.6666666666666665,0.5,1,1,7,5,3,3,-6.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Douglas Silva de Andrade,Renan Barao,Featherweight,0.45,0.36,0,2,4.933333333333334,3.8666666666666667,3.8666666666666667,4.933333333333334,0,0,3,9,3,7,-2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Ariane Lipski,Isabela de Padua,Women's Flyweight,0.49,0.35,0,2,2.066666666666667,1.0,1.0,2.066666666666667,0,0,0,0,2,0,3.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Vanessa Melo,Tracy Cortez,Women's Bantamweight,0.32,0.56,0,2,2.6666666666666665,5.266666666666667,5.266666666666667,2.6666666666666665,0,0,0,0,1,0,0.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Zabit Magomedsharipov,Calvin Kattar,Featherweight,0.38,0.37,1,0,6.4,5.333333333333333,5.333333333333333,6.4,5,2,5,4,0,1,1.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Alexander Volkov,Greg Hardy,Heavyweight,0.56,0.34,0,0,5.733333333333333,3.066666666666667,3.066666666666667,5.733333333333333,0,2,4,2,1,1,0.0,Orthodox,Orthodox
b,KO/TKO,False,Zelim Imadaev,Danny Roberts,Welterweight,0.39,0.6,1,1,3.111111111111111,4.111111111111111,4.111111111111111,3.111111111111111,0,0,0,5,1,4,2.0,Orthodox,Southpaw
b,Decision - Unanimous,False,Khadis Ibragimov,Ed Herman,Light Heavyweight,0.51,0.57,2,0,3.533333333333333,5.4,5.4,3.533333333333333,0,1,0,11,1,10,1.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Ramazan Emeev,Anthony Rocco Martin,Welterweight,0.32,0.29,0,0,2.0,2.7333333333333334,2.7333333333333334,2.0,3,0,3,8,0,5,3.0,Southpaw,Orthodox
r,Decision - Split,False,Shamil Gamzatov,Klidson Abreu,Light Heavyweight,0.46,0.41,0,1,4.266666666666667,2.1333333333333333,2.1333333333333333,4.266666666666667,0,1,0,1,0,1,2.0,Orthodox,Orthodox
r,KO/TKO,False,Magomed Ankalaev,Dalcha Lungiambula,Light Heavyweight,0.65,0.23,1,0,4.4,0.6,0.6,4.4,2,1,2,1,1,0,-1.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Rustam Khabilov,Sergey Khandozhko,Welterweight,0.42,0.49,4,0,0.8,1.6666666666666667,1.6666666666666667,0.8,0,1,9,1,3,0,-1.0,Orthodox,Orthodox
b,Submission,False,Roman Kopylov,Karl Roberson,Middleweight,0.38,0.36,0,1,2.642857142857143,3.0714285714285716,3.0714285714285716,2.642857142857143,0,1,0,3,0,2,1.0,Southpaw,Southpaw
b,Submission,False,Abubakar Nurmagomedov,David Zawada,Welterweight,0.44,0.18,1,0,2.0,1.0,1.0,2.0,0,0,0,0,0,2,-3.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Alexander Yakovlev,Roosevelt Roberts,Lightweight,0.4,0.28,3,0,1.3333333333333333,1.8666666666666667,1.8666666666666667,1.3333333333333333,1,0,3,2,4,1,1.0,Southpaw,Orthodox
b,Decision - Unanimous,False,Jessica-Rose Clark,Pannie Kianzad,Women's Bantamweight,0.41,0.41,0,0,4.333333333333333,6.533333333333333,6.533333333333333,4.333333333333333,0,0,2,0,1,2,-2.0,Orthodox,Orthodox
b,Decision - Split,False,Grigory Popov,Davey Grant,Bantamweight,0.39,0.47,0,6,2.3333333333333335,2.0,2.0,2.3333333333333335,0,0,0,1,1,3,-1.0,Switch,Orthodox
r,TKO - Doctor's Stoppage,False,Jorge Masvidal,Nate Diaz,Welterweight,0.62,0.41,1,0,7.466666666666667,2.8666666666666667,2.8666666666666667,7.466666666666667,2,1,11,15,6,9,-2.0,Orthodox,Southpaw
b,Decision - Split,False,Kelvin Gastelum,Darren Till,Middleweight,0.49,0.53,1,1,2.6666666666666665,2.4,2.4,2.6666666666666665,0,0,10,5,4,2,-3.0,Southpaw,Southpaw
r,Decision - Unanimous,False,Stephen Thompson,Vicente Luque,Welterweight,0.57,0.44,0,0,9.2,5.133333333333334,5.133333333333334,9.2,0,6,9,10,4,2,0.0,Orthodox,Orthodox
r,Decision - Split,False,Derrick Lewis,Blagoy Ivanov,Heavyweight,0.45,0.52,1,3,2.066666666666667,1.3333333333333333,1.3333333333333333,2.066666666666667,0,2,12,2,5,1,6.0,Orthodox,Southpaw
r,KO/TKO,False,Kevin Lee,Gregor Gillespie,Lightweight,0.35,0.19,0,0,10.5,4.5,4.5,10.5,0,6,10,6,5,0,6.0,Orthodox,Orthodox
